voter_name,canonical_id,role,position
Allison Anders,F:15bcedf51ef8,director,10
Allison Anders,F:264b0bf1dd83,director,6
Allison Anders,F:8ccaf0311759,director,5
Allison Anders,F:c6032c33754d,director,3
Allison Anders,F:d63f22c37e98,director,9
Allison Anders,F:424f6f84bc29,director,7
Allison Anders,F:2a9843e83d75,director,8
Jason Anderson,F:125061f190de,critic,6
Jason Anderson,F:2bcbc58a252d,critic,5
Jason Anderson,F:325075869126,critic,10
Jason Anderson,F:853aa70a4537,critic,1
Jason Anderson,F:38ccb3d447c3,critic,9
Jason Anderson,F:8db25a4797e8,critic,2
Jason Anderson,F:77324d1d150c,critic,3
Jason Anderson,F:aa65b1eedc05,critic,4
Jason Anderson,F:cb689f3e2a97,critic,7
Jason Anderson,F:4178c0f6fbb7,critic,8
Wes Anderson,F:53f709905db4,director,8
Wes Anderson,F:c958592352bf,director,1
Wes Anderson,F:4996e9b10df0,director,9
Wes Anderson,F:20a0a276094a,director,7
Wes Anderson,F:2b67b7ec085e,director,5
Wes Anderson,F:b7a3542a9794,director,6
Wes Anderson,F:dd03c7ae8bd4,director,10
Wes Anderson,F:b5a761c3c824,director,4
Wes Anderson,F:64d800fc0575,director,2
Wes Anderson,F:232b55ecd0c7,director,3
Roy Andersson,F:edfb01f5a9d6,director,8
Roy Andersson,F:838a18661382,director,3
Roy Andersson,F:4bbf32d00fd9,director,2
Roy Andersson,F:bee09401fa7d,director,9
Roy Andersson,F:6d78c0ecb7e7,director,10
Roy Andersson,F:53f709905db4,director,6
Roy Andersson,F:b5749f03606c,director,7
Roy Andersson,F:4c53a001a92c,director,5
Roy Andersson,F:6c5a28405e28,director,1
Roy Andersson,F:296c885895bb,director,4
Fábio Andrade,F:7a7c0ff849d4,critic,8
Fábio Andrade,F:6158c3acae8a,critic,6
Fábio Andrade,F:83c734e30238,critic,10
Fábio Andrade,F:aa65b1eedc05,critic,9
Fábio Andrade,F:833bef0fbef2,critic,4
Fábio Andrade,F:930e2118f326,critic,7
Fábio Andrade,F:e3ca227bfcab,critic,1
Fábio Andrade,F:f1f9458aedc5,critic,5
Fábio Andrade,F:8b7b711a6e5c,critic,2
Fábio Andrade,F:ba13ec1a812e,critic,3
Dudley Andrew,F:72d8bc7578ad,critic,4
Dudley Andrew,F:b7dbf64232a8,critic,5
Dudley Andrew,F:2bcbc58a252d,critic,7
Dudley Andrew,F:4178c0f6fbb7,critic,8
Dudley Andrew,F:4fd3c9a708f4,critic,2
Dudley Andrew,F:bf6387f2c8ae,critic,9
Dudley Andrew,F:002c591e702f,critic,6
Dudley Andrew,F:da2a7a0ed7fa,critic,1
Dudley Andrew,F:f96da45e774e,critic,3
Dudley Andrew,F:83c734e30238,critic,10
Geoff Andrew,F:f5b23bc11b1d,critic,5
Geoff Andrew,F:2bcbc58a252d,critic,6
