row_id,source,voter_name,position,book_title,book_author,year,openLibraryId,canonical_id,canonical_title
f25f4e85998a77eb,Top Ten Books,T.C. Boyle,10,The stories of John Cheever,,1912-82,,K:a63cc765d5fe,Stories of John Cheever
056cbf943ddaeea2,Top Ten Books,Adam Braver,1,The Unbearable Lightness of Being,Milan Kundera,1984,,OL:OL8972751W,The Unbearable Lightness of Being
0e1e7464362236d8,Top Ten Books,Adam Braver,2,The stories of Raymond Carver,,1938-88,,K:a7d082925dfc,Stories of Raymond Carver
83c32293a17a0da9,Top Ten Books,Adam Braver,3,The White Album,Joan Didion,1979,,K:bd7c5b4ada3f,The White Album
6bc756b2f826c39c,Top Ten Books,Adam Braver,4,The Killer Inside Me,Jim Thompson,1952,,K:5610cd9f092e,The Killer Inside Me
60388aac7894ec3b,Top Ten Books,Adam Braver,5,Last Exit to Brooklyn,Hubert Selby,1964,,K:62b0567b695e,Last Exit to Brooklyn
3e15bb2d408b70f8,Top Ten Books,Adam Braver,6,Ask the Dust,John Fante,1939,,K:da7daa0a88e4,Ask the Dust
3571df49e61d7729,Top Ten Books,Adam Braver,7,The stories of Anton Chekhov,,1860-1904,,K:6b584d1b9428,Stories of Anton Chekhov
f9d82faaf63d0253,Top Ten Books,Adam Braver,8,Jesus' Son,Denis Johnson,1992,,K:2484db8decc1,Jesus' Son
53c6a08daaaf46e7,Top Ten Books,Adam Braver,9,The Catcher in the Rye,J. D. Salinger,1951,,OL:OL3335245W,The Catcher in the Rye
6820a2da17ef2dd8,Top Ten Books,Adam Braver,10,Stories of Carson McCullers,,1917-67,,K:252d8e6a371c,Stories of Carson McCullers
8e0848320846c0e2,Top Ten Books,Adam Haslett,1,King Lear,William Shakespeare,1605,,K:bc4aa7549271,King Lear
f7f51e8377303b28,Top Ten Books,Adam Haslett,2,Paradise Lost,John Milton,1667,,K:7d6f4598f836,Paradise Lost
36bce95857a51d03,Top Ten Books,Adam Haslett,3,War and Peace,Leo Tolstoy,1869,,OL:OL267171W,War and Peace
2ee20d4595797079,Top Ten Books,Adam Haslett,4,"Absalom, Absalom!",William Faulkner,1936,,K:d2d9f9b0f145,"Absalom, Absalom!"
352e1bdbeff57677,Top Ten Books,Adam Haslett,5,In Search of Lost Time,Marcel Proust,1913-27,,OL:OL1190289W,In Search of Lost Time
051bbbcdc01171ea,Top Ten Books,Adam Haslett,6,Middlemarch,George Eliot,1871-72,,OL:OL20867W,Middlemarch
d9ca7f97ccf932c2,Top Ten Books,Adam Haslett,7,Independent People,Halldór Laxness,1934,,K:ab9b9cd974ed,Independent People
ced018a59e16c9c0,Top Ten Books,Adam Haslett,8,Moby-Dick,Herman Melville,1851,,OL:OL102749W,Moby-Dick
4b0ebb78dcb5b0a1,Top Ten Books,Adam Haslett,9,Long Day’s Journey into Night,Eugene O’Neill,1956,,K:8ea95c8da16e,Long Day’s Journey into Night
913f0ecf8e95faa8,Top Ten Books,Adam Haslett,10,The Prelude,William Wordsworth,,,K:efb5a50a426d,The Prelude
1ddd75760bdfedd5,Top Ten Books,Adriana Trigiani,1,Casa Guidi Windows,Elizabeth Barrett Browning,1851,,K:f9197dea01cf,Casa Guidi Windows
1089207fbf89739d,Top Ten Books,Adriana Trigiani,2,Jane Eyre,Charlotte Brontë,1847,,OL:OL1095427W,Jane Eyre
9e27215fb47f2f6e,Top Ten Books,Adriana Trigiani,3,The Giving Tree,Shel Silverstein,1964,,K:338726f56a1d,The Giving Tree
